teta;Cya;Cxa
0.25;0.1425;0.00683
0.5;0.1685;0.00703
0.75;0.196;0.00723
1;0.225;0.00743
1.25;0.2576;0.00765
1.5;0.2901;0.00789
1.75;0.3256;0.00814
2;0.3644;0.0084
2.25;0.4007;0.00864
2.5;0.4372;0.00889
2.75;0.4758;0.00912
3;0.513;0.00934
3.25;0.5496;0.00956
3.5;0.588;0.00974
3.75;0.626;0.00991
4.25;0.6741;0.01021
4.5;0.6967;0.01039
4.75;0.7194;0.01057
5;0.7423;0.01071
5.25;0.7644;0.01095
5.5;0.7872;0.01112
5.75;0.8101;0.01128
6;0.832;0.01155
6.25;0.8549;0.01174
6.5;0.8781;0.01191
6.75;0.9004;0.01218
7;0.9234;0.0124
7.25;0.947;0.01257
7.5;0.9692;0.01287
7.75;0.9927;0.01308
8;1.0163;0.01329
8.25;1.0386;0.01364
8.5;1.0632;0.0138
8.75;1.0861;0.01413
9;1.1099;0.01439
9.25;1.1332;0.0147
9.5;1.1563;0.01504
9.75;1.1793;0.01539
10;1.2021;0.01576
10.25;1.2235;0.01624
10.5;1.2461;0.01662
10.75;1.2668;0.01715
11;1.2872;0.01769
11.25;1.3072;0.01825
11.5;1.3255;0.01892
11.75;1.3428;0.01964
12;1.36;0.02034
12.25;1.3742;0.02121
12.5;1.387;0.02203
12.75;1.3967;0.02296
13;1.4054;0.02399
13.25;1.4124;0.02518
13.5;1.4198;0.02641
13.75;1.4206;0.0282
14;1.4279;0.02964
14.25;1.4299;0.03162
14.5;1.4241;0.03455
14.75;1.4257;0.03701
15;1.4242;0.04001
15.25;1.419;0.04369
15.5;1.4087;0.04829
15.75;1.3932;0.05383
16;1.373;0.06022
16.25;1.3561;0.06625
16.5;1.3394;0.07231
16.75;1.3211;0.07866
17;1.3028;0.08512
